,mukey,om,cec,ph
0,2745864,0.0,23.0,8.0
1,403232,0.0,15.0,8.0
2,3182562,5.0,26.0,7.0
3,403266,3.0,18.0,6.0
4,403266,4.0,19.0,6.0
5,399800,0.0,18.0,7.0
6,396132,0.0,19.0,8.0
7,1596035,0.0,11.0,7.0
8,2745864,1.0,33.0,7.0
9,399803,1.0,24.0,8.0
10,399796,0.0,16.0,7.0
11,399796,2.0,19.0,7.0
12,403232,3.0,21.0,7.0
13,403236,0.0,2.0,6.0
14,403266,0.0,20.0,6.0
15,403266,0.0,35.0,7.0
16,244689,2.0,14.0,6.0
17,3182562,2.0,25.0,7.0
18,399778,2.0,20.0,7.0
19,403266,0.0,18.0,7.0
20,399792,0.0,16.0,7.0
21,399776,4.0,20.0,7.0
22,399803,2.0,17.0,8.0
23,1150810,1.0,27.0,7.0
24,403232,1.0,24.0,7.0
25,403236,0.0,20.0,6.0
26,3182562,0.0,22.0,8.0
27,3182557,0.0,20.0,8.0
28,403232,0.0,12.0,8.0
29,2669024,2.0,21.0,7.0
30,403232,1.0,13.0,7.0
31,2669022,1.0,23.0,7.0
32,403266,4.0,19.0,6.0
33,399796,4.0,20.0,7.0
34,399792,3.0,20.0,6.0
35,244623,0.0,15.0,8.0
36,403268,2.0,25.0,6.0
37,399803,1.0,21.0,7.0
38,3182562,2.0,25.0,7.0
39,399803,0.0,15.0,8.0
40,403232,1.0,24.0,7.0
41,399803,1.0,24.0,8.0
42,403232,1.0,24.0,7.0
43,2745864,0.0,24.0,8.0
44,2745864,0.0,23.0,7.0
45,3182556,0.0,18.0,8.0
46,3182557,0.0,18.0,8.0
47,399800,0.0,17.0,7.0
48,399803,0.0,17.0,8.0
49,399800,4.0,20.0,7.0
50,1612280,3.0,24.0,6.0
51,399800,3.0,20.0,7.0
52,403266,3.0,21.0,7.0
53,2668945,0.0,26.0,8.0
54,399781,2.0,25.0,7.0
55,399774,1.0,19.0,7.0
56,399792,1.0,19.0,7.0
57,399800,3.0,20.0,7.0
58,3182568,6.0,30.0,7.0
59,403232,0.0,12.0,7.0
60,403269,2.0,12.0,7.0
61,403268,2.0,18.0,6.0
62,403268,2.0,13.0,6.0
63,403269,4.0,21.0,7.0
64,435877,1.0,6.0,7.0
65,1596039,6.0,30.0,6.0
66,396153,9.0,25.0,8.0
67,403268,0.0,12.0,6.0
68,3182556,0.0,18.0,8.0
69,399802,0.0,18.0,7.0
70,399779,0.0,15.0,8.0
71,2745864,2.0,19.0,6.0
72,399776,2.0,17.0,8.0
73,403236,1.0,18.0,6.0
74,1596035,1.0,24.0,6.0
75,399803,1.0,24.0,8.0
76,403268,0.0,18.0,7.0
77,403268,0.0,20.0,6.0
78,3182562,6.0,26.0,7.0
